DRX	Deft	40	22	18	55%	3.95	1.98	4.13	4.09	334.33	9.65	15.2	440	19.2k	552.5	72.4%	35.4%	24.9%	10	Aphelios, Jinx, Kai'Sa
DRX	BeryL	40	21	19	52.5%	0.57	3.15	7.05	2.42	41.13	1.19	8	233	4.5k	130.6	69.8%	5.3%	13.2%	13	Leona, Nautilus, Tahm Kench
DRX	Kingen	40	21	19	52.5%	1.98	2.33	3.83	2.49	277.68	8.03	13	377	17.8k	514.2	53.1%	18.1%	21.4%	11	Gwen, Jayce, Gragas
DRX	Pyosik	40	21	19	52.5%	1.98	2.58	5.3	2.83	187.28	5.42	10.9	316	7.5k	216	66.6%	18.1%	17.9%	8	Lee Sin, Xin Zhao, Hecarim
DRX	Zeka	40	21	19	52.5%	2.55	1.68	4.43	4.16	309.23	8.95	13.8	400	17k	490.9	63.8%	23.3%	22.7%	14	LeBlanc, Ahri, Akali
DRX	Clear	1	1	0	100%	2	5	4	1.2	222	7.47	10.4	351	20.1k	678.1	46.2%	15.4%	19.1%	1	Gwen
DRX	Jun	1	1	0	100%	1	1	10	11	24	0.81	8	269	4.4k	148.7	84.6%	7.7%	14.6%	1	Lulu
DRX	Peach	1	1	0	100%	1	2	8	4.5	164	5.52	10	335	5.9k	198.2	69.2%	7.7%	18.2%	1	Lee Sin
DRX	SeTab	1	1	0	100%	4	2	5	4.5	248	8.35	12.2	411	23.6k	794.2	69.2%	30.8%	22.3%	1	Viktor
DRX	Taeyoon	1	0	1	0%	1	4	0	0.25	210	8.2	8.9	349	7.9k	309.5	25%	25%	22.9%	1	Jinx
DWG KIA	Canyon	42	27	15	64.3%	2.52	2.05	6.33	4.33	207.05	5.8	12.1	338	9.9k	277.7	72.4%	20.6%	19%	14	Jarvan IV, Lee Sin, Xin Zhao
DWG KIA	deokdam	42	27	15	64.3%	4.21	1.52	4.07	5.44	332.36	9.3	15.7	440	18.5k	519.1	67.7%	34.4%	24.7%	8	Jinx, Aphelios, Ezreal
DWG KIA	Kellin	42	27	15	64.3%	0.79	1.9	7.93	4.58	31.38	0.88	8.5	237	5.9k	164.7	71.2%	6.4%	13.3%	11	Karma, Nautilus, Tahm Kench
DWG KIA	ShowMaker	42	27	15	64.3%	2.71	1.67	5.02	4.64	305.55	8.55	14.1	395	14.8k	414.1	63.2%	22.2%	22.2%	16	Ryze, Twisted Fate, Veigar
DWG KIA	Burdol	36	24	12	66.7%	2.03	2.08	4.25	3.01	284.06	8.02	13.2	374	14.6k	412.2	53.2%	17.2%	21%	10	Gwen, Graves, Akali
DWG KIA	Hoya	6	3	3	50%	1.83	4.67	5	1.46	253.67	6.75	12.9	342	12.6k	336.2	46.1%	12.4%	19.3%	5	Gragas, Akali, Camille
Fredit BRION	Delight	44	22	22	50%	0.82	2.8	7.3	2.9	43.77	1.21	8.4	232	4.6k	127.8	70.8%	7.1%	13.1%	11	Rakan, Leona, Nautilus
Fredit BRION	Hena	42	21	21	50%	3.12	1.69	4.86	4.72	347.5	9.57	15.6	429	17.9k	491.9	69.1%	27%	24.3%	10	Aphelios, Jinx, Jhin
Fredit BRION	Lava	42	21	21	50%	3.52	1.88	5.07	4.57	324.5	8.93	15	413	19.3k	532.5	74.4%	30.5%	23.4%	11	Ahri, Ryze, Corki
Fredit BRION	UmTi	40	19	21	47.5%	2.08	2.25	5.78	3.49	195.63	5.34	11.6	317	8.3k	225.1	70.2%	18.6%	18%	7	Xin Zhao, Lee Sin, Viego
Fredit BRION	Morgan	36	18	18	50%	1.89	2.19	4.08	2.72	298.58	8.29	13.6	377	12.4k	344.2	51.9%	16.4%	21.3%	10	Gwen, Renekton, Gragas
Fredit BRION	Sw0rd	6	3	3	50%	2.17	2.5	5	2.87	277.5	7.27	13.6	356	16.6k	435.8	60.6%	18.3%	20.1%	4	Gragas, Lee Sin, Gwen
Fredit BRION	Raptor	2	2	0	100%	4.5	1.5	10	9.67	176	5.9	11.4	383	11.6k	389.2	76.3%	23.7%	19.8%	2	Viego, Xin Zhao
Fredit BRION	Feisty	2	0	2	0%	1	2.5	2	1.2	159.5	8.18	6.8	349	6.9k	352.2	75%	25%	23.3%	2	Galio, Vex
Fredit BRION	Gamin	2	0	2	0%	0.5	4	1	0.38	158.5	8.13	6.8	349	4.5k	228.9	37.5%	12.5%	23.3%	2	Samira, Jinx
Fredit BRION	Listo	2	0	2	0%	1.5	3.5	1.5	0.86	99	5.08	5.6	290	5.3k	274.2	75%	37.5%	19.3%	1	Xin Zhao
Fredit BRION	Loopy	2	0	2	0%	0.5	5	1.5	0.4	29.5	1.51	4.2	216	3.6k	183.1	50%	12.5%	14.4%	1	Nautilus
Fredit BRION	Soboro	2	0	2	0%	0.5	5.5	0	0.09	131.5	6.74	5.7	295	7.1k	366.1	12.5%	12.5%	19.7%	2	Gangplank, Graves
Gen.G	Lehends	39	26	13	66.7%	0.51	2.95	8.03	2.9	30.38	0.91	7.7	231	4.3k	128.5	62.2%	3.7%	12.4%	14	Leona, Yuumi, Tahm Kench
Gen.G	Doran	36	26	10	72.2%	2.78	2.56	5.56	3.26	280.81	8.46	13.7	412	17.5k	527.6	57.9%	19.3%	22%	13	Jayce, Graves, Gwen
Gen.G	Peanut	35	26	9	74.3%	2.94	1.66	6.86	5.91	198.14	5.98	11.6	349	8.3k	249.7	68.3%	20.5%	18.6%	13	Lee Sin, Poppy, Jarvan IV
Gen.G	Ruler	35	26	9	74.3%	4.2	1.46	5.46	6.63	324.17	9.82	15	455	19.8k	599.3	65.5%	28.5%	24.1%	11	Jinx, Aphelios, Jhin
Gen.G	Chovy	34	24	10	70.6%	4.24	1.44	5.97	7.08	311.44	9.6	14.5	446	19.6k	603.3	70.7%	29.3%	23.7%	13	Corki, LeBlanc, Ryze
Gen.G	Ophelia	8	4	4	50%	2.38	1.88	3.5	3.13	304.88	8.32	14	383	17.2k	468	51.6%	20.9%	21.7%	5	Viktor, Ziggs, Galio
Gen.G	Lospa	5	2	3	40%	1.2	4	7.6	2.2	24	0.71	7.7	226	3.9k	114.4	67.7%	9.2%	12.7%	4	Leona, Alistar, Nautilus
Gen.G	Quid	5	2	3	40%	3.2	3	4	2.4	310.2	8.55	13.7	378	18.8k	517.9	61%	27.1%	21.4%	5	Syndra, Yone, Vex
Gen.G	YoungJae	5	2	3	40%	1.6	3.8	6.2	2.05	178.8	5.29	10.4	308	8.2k	242.5	60%	12.3%	17.3%	4	Xin Zhao, Lee Sin, Poppy
Gen.G	Zest	2	2	0	100%	2	2	3.5	2.75	269.5	9.39	12.1	422	15.5k	538.3	42.3%	15.4%	20.4%	2	Tryndamere, Fiora
Hanwha Life Esports	DuDu	43	12	31	27.9%	1.93	2.86	3.28	1.82	276.65	7.93	12.7	364	14.2k	407.3	53.3%	19.8%	21.5%	14	Gwen, Gragas, Graves
