Dplus KIA	Canna	7	6	1	85.7%	2.57	1.43	5.14	5.4	279.29	8.51	13	397	11.4k	348.8	50.9%	17%	20.8%	3	K'Sante, Renekton, Jax
Dplus KIA	Canyon	7	6	1	85.7%	1.14	1.57	11	7.73	170	5.18	10.7	326	7.2k	218.7	80.2%	7.5%	17.1%	3	Rell, Zac, Poppy
Dplus KIA	Deft	7	6	1	85.7%	5.71	1.29	5	8.33	345.14	10.52	16	488	20.5k	625.5	70.8%	37.7%	25.6%	5	Aphelios, Xayah, Zeri
Dplus KIA	Kellin	7	6	1	85.7%	0.86	1.29	10.57	8.89	36	1.1	8	243	5.2k	158	75.5%	5.7%	12.8%	4	Alistar, Rakan, Leona
Dplus KIA	ShowMaker	7	6	1	85.7%	4.86	0.86	6.57	13.33	299.86	9.14	14.8	451	22.6k	689.4	75.5%	32.1%	23.7%	5	Sylas, Azir, Xerath
DRX	BeryL	3	0	3	0%	0.33	4.67	3	0.71	40.33	1.32	6.4	210	5.5k	178.7	90.9%	9.1%	13.3%	3	Alistar, Leona, Maokai
DRX	Croco	3	0	3	0%	1.33	3	2	1.11	168.33	5.52	9.3	304	8.5k	277.4	90.9%	36.4%	19.2%	3	Maokai, Nocturne, Sejuani
DRX	FATE	3	0	3	0%	1	2.67	2.33	1.25	278.33	9.12	11.5	375	20.3k	666.7	90.9%	27.3%	23.7%	3	Taliyah, Azir, Tristana
DRX	Paduck	3	0	3	0%	0.33	3.33	2.33	0.8	290	9.5	11.4	375	17.2k	562	72.7%	9.1%	23.7%	1	Zeri
DRX	Rascal	3	0	3	0%	0.67	4	1.67	0.58	233	7.64	9.7	319	10.7k	349.8	63.6%	18.2%	20.2%	3	Aatrox, Malphite, K'Sante
Hanwha Life Esports	Grizzly	8	2	6	25%	1.5	3.38	4.88	1.89	172.5	5.43	10	315	5.9k	184.3	78.5%	18.5%	18%	5	Nocturne, Viego, Rell
Hanwha Life Esports	Kingen	8	2	6	25%	2.38	1.88	2.25	2.47	283.13	8.91	12.8	403	15.6k	490.2	56.9%	29.2%	23%	6	Gnar, Rumble, Aatrox
Hanwha Life Esports	Life	8	2	6	25%	0.25	3.25	6.38	2.04	29.63	0.93	6.9	216	3.4k	107.3	81.5%	3.1%	12.3%	6	Nautilus, Alistar, Rell
Hanwha Life Esports	Viper	8	2	6	25%	1.88	1.63	3.88	3.54	324.5	10.21	13.3	417	15.6k	492.3	70.8%	23.1%	23.8%	5	Kai'Sa, Aphelios, Xayah
Hanwha Life Esports	Zeka	8	2	6	25%	2.13	1.5	3.13	3.5	301.5	9.49	12.8	404	14k	440.4	64.6%	26.2%	23%	5	Azir, Ahri, Yone
KT Rolster	Aiming	4	3	1	75%	4.25	0.75	4.25	11.33	287	9.89	13.7	471	14.6k	502.5	85%	42.5%	24.9%	3	Kai'Sa, Nilah, Ezreal
KT Rolster	Bdd	4	3	1	75%	2	1.5	6	5.33	279	9.61	12.5	431	12.3k	424.7	80%	20%	22.8%	2	Azir, Tristana
KT Rolster	Cuzz	4	3	1	75%	1.75	1.5	5.75	5	162.5	5.6	9.9	340	5.8k	198.7	75%	17.5%	18%	3	Poppy, Vi, Rell
KT Rolster	Kiin	4	3	1	75%	2	1.5	4	4	254	8.75	11.8	407	9.3k	319.2	60%	20%	21.5%	3	K'Sante, Malphite, Aatrox
KT Rolster	Lehends	4	3	1	75%	0	2.5	5.75	2.3	34.5	1.19	7.1	243	2.6k	90.6	57.5%	0%	12.9%	2	Leona, Nautilus
