Dplus KIA	Canna	40	24	16	60%	2.15	2.35	4.78	2.95	254.48	8.04	12.2	386	15.8k	499.4	52.8%	16.4%	20.8%	11	Renekton, Jax, Rumble
Dplus KIA	Canyon	40	24	16	60%	2.23	2.25	7.28	4.22	194.53	6.15	11.2	354	10.4k	328	72.4%	17%	19.1%	15	Viego, Lee Sin, Vi
Dplus KIA	ShowMaker	40	24	16	60%	3.48	1.8	5.2	4.82	278.45	8.8	13.1	413	19.5k	617.1	66.1%	26.5%	22.3%	12	Annie, Tristana, Jayce
Dplus KIA	Deft	37	23	14	62.2%	4.68	2.03	5.43	4.99	304.22	9.61	14.5	459	23.9k	755.6	73.9%	34.2%	24.6%	10	Aphelios, Kai'Sa, Draven
Dplus KIA	Kellin	27	16	11	59.3%	0.7	1.81	9.33	5.53	29.07	0.96	7.4	245	5.4k	178.2	77.7%	5.4%	13.2%	13	Milio, Yuumi, Rell
Dplus KIA	Bible	13	8	5	61.5%	0.92	3.31	8.38	2.81	37.62	1.08	8.3	239	3.9k	113.6	68.8%	6.8%	13%	6	Rell, Nautilus, Leona
Dplus KIA	Rahel	3	1	2	33.3%	2.33	1.67	1.33	2.2	314.67	10.01	13.7	437	14.2k	452.5	57.9%	36.8%	25.3%	3	Aphelios, Zeri, Lucian
DRX	BeryL	43	16	27	37.2%	0.35	3.26	6.47	2.09	38.72	1.26	7.2	234	5.1k	166.8	70.6%	3.6%	13.4%	14	Rell, Rakan, Milio
DRX	Paduck	43	16	27	37.2%	3.16	2.44	3.6	2.77	283.81	9.25	12.9	421	17.8k	579.1	70.1%	32.8%	24.1%	9	Xayah, Aphelios, Draven
DRX	Rascal	43	16	27	37.2%	2.16	2.98	3.49	1.9	248.4	8.1	11.6	380	13.6k	441.8	58.6%	22.4%	21.7%	13	Jax, Renekton, K'Sante
DRX	FATE	34	15	19	44.1%	2.71	1.76	4.59	4.13	282.94	9.13	12.6	408	18.6k	599.6	69.7%	25.8%	22.9%	10	Tristana, Ahri, Jayce
DRX	Croco	25	9	16	36%	1.64	2.76	6.2	2.84	155.68	5.11	9.8	322	8.9k	292.6	75.4%	15.8%	18.4%	13	Maokai, Viego, Sejuani
DRX	Juhan	18	7	11	38.9%	1.28	2.83	5.33	2.33	161.5	5.21	9.7	314	7.4k	238.9	76.8%	14.8%	18.1%	8	Sejuani, Ivern, Wukong
DRX	kyeahoo	9	1	8	11.1%	1.67	2.67	2.56	1.58	220.11	7.45	9.8	332	12.4k	418.3	64.4%	25.4%	20.7%	4	Ahri, K'Sante, Jayce
Gen.G	Chovy	39	32	7	82.1%	2.67	1.36	6.82	6.98	283.41	9.46	12.9	431	18.6k	620.9	65.7%	18.5%	22%	10	Annie, Tristana, Azir
Gen.G	Delight	39	32	7	82.1%	0.64	1.67	9.72	6.22	34.15	1.14	7.6	254	4.3k	144.9	71.8%	4.4%	12.9%	11	Rakan, Milio, Nautilus
Gen.G	Doran	39	32	7	82.1%	2.59	2.1	5.64	3.91	253.33	8.46	12.7	423	15.8k	527	57%	17.9%	21.6%	10	Jax, Renekton, K'Sante
Gen.G	Peanut	39	32	7	82.1%	2.54	1.51	7.23	6.46	187.51	6.26	11	367	10k	332.6	67.7%	17.6%	18.7%	11	Maokai, Vi, Kha'Zix
Gen.G	Peyz	39	32	7	82.1%	6	1.51	4.31	6.81	304.82	10.18	14.5	485	20.3k	677.4	71.4%	41.6%	24.8%	12	Kai'Sa, Aphelios, Xayah
Hanwha Life Esports	Kingen	41	27	14	65.9%	1.73	1.85	5.07	3.67	256.93	8.34	12	390	15.2k	494.2	51.6%	13.1%	20.7%	13	Renekton, K'Sante, Jax
Hanwha Life Esports	Life	41	27	14	65.9%	0.76	2.56	8.71	3.7	27.78	0.9	7.5	242	4.3k	140.6	71.7%	5.7%	12.8%	11	Rell, Nautilus, Rakan
Hanwha Life Esports	Viper	41	27	14	65.9%	4.59	1.85	4.44	4.87	324.24	10.53	14.5	471	20.6k	668.8	68.4%	34.8%	25%	10	Aphelios, Kai'Sa, Xayah
Hanwha Life Esports	Zeka	41	27	14	65.9%	3.88	1.76	5.27	5.21	291.32	9.46	13.4	436	17.8k	576.9	69.3%	29.4%	23.1%	8	Azir, Yone, Annie
Hanwha Life Esports	Grizzly	26	17	9	65.4%	2.23	2.42	7.42	3.98	167	5.49	10.5	344	9.6k	315.9	69.9%	16.2%	18.1%	7	Maokai, Sejuani, Viego
Hanwha Life Esports	Clid	15	10	5	66.7%	2.27	2.27	6.4	3.82	185.4	5.88	11	348	8.7k	275.6	71.4%	18.7%	18.8%	6	Viego, Vi, Sejuani
KT Rolster	Aiming	40	34	6	85%	5.73	1.23	5.45	9.12	307.25	10.54	14.7	506	18.9k	647.5	74.9%	38.4%	26%	9	Kai'Sa, Aphelios, Zeri
KT Rolster	Bdd	40	34	6	85%	3.38	1.45	7	7.16	255.15	8.76	12.1	414	16.5k	567.6	69.5%	22.6%	21.3%	9	Azir, Annie, Neeko
KT Rolster	Cuzz	40	34	6	85%	2.53	1.63	8.63	6.86	171.35	5.88	10.5	359	9.2k	315.2	74.7%	16.9%	18.5%	9	Viego, Sejuani, Maokai
KT Rolster	Kiin	40	34	6	85%	2.78	1.4	6.15	6.38	256.52	8.8	12.2	418	14.5k	496.5	59.8%	18.6%	21.5%	13	Renekton, Jax, Malphite
KT Rolster	Lehends	40	34	6	85%	0.53	2.03	10.1	5.25	30.88	1.06	7.3	249	3.8k	130	71.2%	3.5%	12.8%	9	Nautilus, Alistar, Lulu
KT Rolster	Feisty	1	1	0	100%	6	2	13	9.5	331	9.2	17.8	493	28.1k	781.3	82.6%	26.1%	24.1%	1	Azir
KT Rolster	HamBak	1	1	0	100%	2	1	15	17	218	6.06	13.3	369	12.1k	336.4	73.9%	8.7%	18%	1	Vi
KT Rolster	Hype	1	1	0	100%	10	3	12	7.33	345	9.59	18.3	510	25.6k	711.5	95.7%	43.5%	24.9%	1	Zeri
KT Rolster	PerfecT	1	1	0	100%	2	1	11	13	305	8.48	14.3	398	16.9k	468.9	56.5%	8.7%	19.5%	1	Gragas
KT Rolster	Way	1	1	0	100%	3	4	13	4	38	1.06	9.9	275	5k	138.6	69.6%	13%	13.5%	1	Alistar
Kwangdong Freecs	BuLLDoG	38	10	28	26.3%	1.97	2.79	3.71	2.04	293.5	9.26	12.6	398	19.4k	611.6	64.3%	22.3%	22.7%	13	Azir, LeBlanc, Tristana
Kwangdong Freecs	DuDu	38	10	28	26.3%	2.18	2.42	3.5	2.35	281.61	8.88	12.4	391	16.9k	533.9	64.3%	24.7%	22.3%	9	K'Sante, Renekton, Poppy
Kwangdong Freecs	Taeyoon	38	10	28	26.3%	2.79	3.53	3.24	1.71	305.24	9.63	13.3	421	17.9k	563.5	68.2%	31.5%	24%	9	Kai'Sa, Zeri, Aphelios
Kwangdong Freecs	YoungJae	38	10	28	26.3%	1.37	2.5	5.13	2.6	179.26	5.65	10.1	320	8.7k	274.8	73.5%	15.5%	18.3%	10	Sejuani, Maokai, Viego
Kwangdong Freecs	Andil	20	2	18	10%	0.5	3.6	4.35	1.35	34	1.09	6.8	216	3.9k	124.2	67.4%	6.9%	12.7%	7	Braum, Rakan, Nautilus
Kwangdong Freecs	Jun	18	8	10	44.4%	0.56	2.89	7.5	2.79	26.39	0.82	7.4	231	6.2k	192.6	75.5%	5.2%	12.8%	8	Yuumi, Rell, Nautilus
Liiv SANDBOX	Clozer	40	13	27	32.5%	3.15	2.65	4.65	2.94	314.35	9.68	-	-	19.3k	595.1	67.7%	27.3%	-	12	LeBlanc, Azir, Ahri
Liiv SANDBOX	Kael	40	13	27	32.5%	0.38	3.18	7.9	2.61	33.15	1.02	-	-	4.1k	127.7	71.8%	3.3%	-	13	Rell, Nautilus, Leona
Liiv SANDBOX	Teddy	40	13	27	32.5%	3.98	2.78	4.4	3.02	321.55	9.9	-	-	19.9k	614.1	72.7%	34.5%	-	10	Kai'Sa, Varus, Aphelios
Liiv SANDBOX	Willer	40	13	27	32.5%	2.13	2.75	6.25	3.05	178.6	5.5	-	-	8.6k	264.7	72.7%	18.4%	-	12	Sejuani, Wukong, Nocturne
Liiv SANDBOX	Burdol	23	6	17	26.1%	2	2.83	4.22	2.2	248.83	7.62	11.8	362	14.4k	439.6	56.3%	18.1%	20.6%	9	K'Sante, Jax, Renekton
Liiv SANDBOX	Clear	17	7	10	41.2%	1.76	2.53	5.18	2.74	267.59	8.31	-	-	14.3k	443.8	57%	14.5%	-	4	K'Sante, Jax, Renekton
Nongshim RedForce	DnDn	43	13	30	30.2%	1.33	2.91	3.33	1.6	253.42	8.23	11.2	364	14k	454	48.8%	13.9%	20.8%	12	K'Sante, Renekton, Poppy
Nongshim RedForce	Peter	43	13	30	30.2%	0.51	2.47	6.81	2.97	29.79	0.97	7	228	3.8k	123.6	76.8%	5.4%	13.1%	9	Rell, Rakan, Nautilus
Nongshim RedForce	Sylvie	43	13	30	30.2%	1.88	2.67	4.47	2.37	173.26	5.63	10.2	332	8.3k	269.9	66.6%	19.8%	19%	10	Viego, Vi, Sejuani
Nongshim RedForce	Jiwoo	36	11	25	30.6%	3.81	3.11	3.75	2.43	314.67	10.16	13.9	447	18.6k	599.4	73.5%	37%	25.4%	9	Xayah, Aphelios, Kai'Sa
Nongshim RedForce	FIESTA	31	10	21	32.3%	2.71	2.84	4.94	2.69	257.71	8.29	12.1	388	18.5k	594.1	69.7%	24.7%	21.9%	9	Azir, Annie, LeBlanc
